Andrew Davis
Andrew Divoff
Andrew Dominik
Andrew Dunn
Andrew Friedman
Andrew Keegan
Andrew Laszlo
Andrew Lesnie
Andrew Lincoln
Andrew Lloyd Webber
Andrew Lloyd Weber
Andrew MacLachlan
Andrew Miller
Andrew Niccol
Andrew Pleavin
Andrew Scott
Andrew Secombe
Andrew Stanton
Andrew Strong
Andrew Tieman
Andrij Parekh
Andrzej Bartowiak
Andrzej Sekula
André Braugher
André Dussollier
André Morell
André Previn
André Ramiro
André the Giant
Andrés Lima
Andrés Sáenz de Heredia
Andy Beckwith
Andy Devine
Andy Dick
Andy García
Andy Lindberg
Andy Nyman
Andy Robinson
Andy Samberg
Andy Secombe
Andy Serkis
Andy Tennant
Andy Wachowski
Andy Yerkes
Ang Lee
Angela Bassett
Angela Featherstone
Angela Goethals
Angela Jones
Angela Lansbury
Angela Paton
Angelica Mandy
Angelina Estrada
Angelina Jolie
Angeline Ball
Angelo Badalamenti
Angelo Milli
Angie Dickinson
Angie Harmon
Angus Barnett
Angus Lennie
Angus MacFadyen
Angus Sampson
Angélica Aragón
Ania Iglesias
Aniela McGuinness
Anika Noni Rose
Anil Kapoor
Animation
Anjelica Huston
Anjini Taneja Azhar
Ann Bell
Ann Blyth
Ann Miller
Ann Nelson
Ann Peacock
Ann Reinking
Ann Robinson
Ann Rutherford
Ann Shoemaker
Ann-Margret
Anna Camp
Anna Deavere Smith
Anna Faris
Anna Kendrick
Anna Kournikova
Anna Lee
Anna Palk
Anna Paquin
Anna Popplewell
Anna Q. Nilsson
Anna Thomson
AnnaSophia Robb
Annabel Jankel
Annabeth Gish
Anne Bancroft
Anne Baxter
Anne Brochet
Anne Byrne
Anne Dudley
Anne Dyson
Anne Fletcher
Anne Francis
Anne Haney
Anne Hathaway
Anne Heche
Anne Kent
Anne Le Ny
Anne Marivin
Anne Newman
Anne Parillaud
Anne Ramsey
Anne Reid
Anne Vernon
Annelise Hesme
Annette Bening
Annette Crosbie
Annie Corley
Annie Golden
Annie Parisse
Annie Potts
Annika Peterson
Ansel Elgort
Anthony Anderson
Anthony Daniels
Anthony Dod Mantle
Anthony Gonzalez
Anthony Hardwick
Anthony Havelock Allan
Anthony Head
Anthony Higgins
Anthony Hines
Anthony Hopkins
Anthony James
Anthony Mackie
Anthony Mann
Anthony Marinelli
Anthony Michael Hall
Anthony Minghella
Anthony Peck
Anthony Peckham
Anthony Quayle
Anthony Quinn
Anthony Rapp
Anthony Ray Parker
Anthony Stacchi
Anthony Wong Chau-Sang
Anthony Zerbe
Antoine Fuqua
Antoine Roch
Antoine Saint-John
Anton Diffring
Anton Walbrook
Anton Yelchin
Antonella Attiu
Antonia Franceschi
Antonia San Juan
Antonio Banderas
Antonio Cora
Antonio David Lyons
Antonio Dechent
Antonio Ferrandis
Antonio Gamero
Antonio Hernández
Antonio Larreta
Antonio Molino Rojo
Antonio Pinto
Antonio Prieto
Antonio Resines
Antonio Rodrigo Nogueira
Antonio Vivaldi
Antonio de la Torre
Antony Sher
Antón García Abril
