ece69fde-a5e2-11e5-84df-a45e60eb67c5,7.9,"City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl. The film was a great success and today is deemed a cult classic.","{'Drama','Romance'}",G,1931-01-30,1931,"City Lights",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece5dc68-a5e2-11e5-80b3-a45e60eb67c5,6.8,"The legend of vampire Count Dracula begins here with this original 1931 Dracula film from Bela Lugosi.","{}",PG,1931-02-12,1931,"Dracula",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ecee3475-a5e2-11e5-b6f0-a45e60eb67c5,6.0,"James Cagney star's as Tom Powers, a trouble-ridden individual who rises from the position of cheap thug to that of a powerful Prohibition gangster. When his best friend is murdered, Powers self-destructively seeks deadly retaliation.","{'Action','Crime'}",NR,1931-04-23,1931,"The Public Enemy",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece7a335-a5e2-11e5-b8f4-a45e60eb67c5,7.0,"Henry Frankenstein is a doctor who is trying to discover a way to make the dead walk. He succeeds and creates a monster that has to deal with living again.","{}",NR,1931-11-21,1931,"Frankenstein",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece5db97-a5e2-11e5-bd3a-a45e60eb67c5,7.5,"A carnival barker displays a sideshow freak called the Feathered Hen and tells her story. Cleopatra, a trapeze artist with the carnival, is adored by a midget named Hans. Frieda, Hans' fiancée (also a midget), warns Hans that Cleopatra is only interested in him so that he will give her money. Cleopatra has an affair with Hercules, and when Frieda lets it slip that Hans is to come into an inheritance, Cleopatra and Hercules plan to get the money be having Cleopatra marry Hans. During the wedding reception, Cleopatra, although openly romantic with Hercules, is accepted by the freaks, but is revolted and mocks them. The freaks decide that they no longer need Hercules in their carnival and have a new career for Cleopatra all lined up, and make sure she doesn't 'chicken' out.","{'Horror','Thriller'}",NR,1932-02-20,1932,"Freaks",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ecf0b302-a5e2-11e5-8a9a-a45e60eb67c5,4.9,"A rich man turns to a witch doctor to lure the woman he loves away from her fiance, but instead turns her into a zombie slave.","{}",NR,1932-08-04,1932,"White Zombie",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ecec997d-a5e2-11e5-abd1-a45e60eb67c5,4.6,"Quincy Adams Wagstaff, the new president of Huxley U, hires bumblers Baravelli and Pinky to help his school win the big football game against rival Darwin U.","{'Romance'}",NR,1932-08-19,1932,"Horse Feathers",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
eced98cc-a5e2-11e5-a6a3-a45e60eb67c5,6.6,"An Ancient Egyptian priest called Imhotep is revived when an archaeological expedition finds Imhotep's mummy and one of the archaeologists accidentally reads an ancient life-giving spell. Imhotep escapes from the archaeologists and prowls Cairo seeking the reincarnation of the soul of his ancient lover, Princess Ankh-es-en-amon.","{}",PG,1932-12-22,1932,"The Mummy",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece5fde3-a5e2-11e5-a4fc-a45e60eb67c5,7.3,"An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.","{'Drama','Horror','Adventure','Thriller'}",NR,1933-03-02,1933,"King Kong",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ecf3637d-a5e2-11e5-b2e2-a45e60eb67c5,5.2,"Social climbing Millicent and Oliver Jordan throw a dinner for a bunch of New York society types, each of whom has much to reveal.","{'Drama'}",PG,1933-08-29,1933,"Dinner at Eight",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
